method,experiment,iteration,learning_rate,gamma,reward_lower_bound,best_learning_rate,best_gamma,best_reward_lower_bound
1,0,0,0.098407182085514,0.934395215082169,-163.515022577411,0.098407182085514,0.934395215082169,-163.515022577411
1,0,1,0.0988467733442783,0.858639542502165,-172.482019405087,0.098407182085514,0.934395215082169,-163.515022577411
1,0,2,0.0616678923249244,0.956748031419516,-154.1364228271,0.0616678923249244,0.956748031419516,-154.1364228271
1,0,3,0.0617505289316177,0.966553559648991,-1532.64823143286,0.0616678923249244,0.956748031419516,-154.1364228271
1,0,4,0.0546958350300788,0.929386448377371,-192.789863192694,0.0616678923249244,0.956748031419516,-154.1364228271
1,0,5,0.0843215706169605,0.852034172415733,-759.628774258648,0.0616678923249244,0.956748031419516,-154.1364228271
1,0,6,0.0192270994722843,0.86699260135293,-1303.86057922368,0.0616678923249244,0.956748031419516,-154.1364228271
1,0,7,0.0614658857762813,0.802601030147076,-161.184208257414,0.0616678923249244,0.956748031419516,-154.1364228271
1,0,8,0.0818428773224353,0.918750194555521,-826.375158865893,0.0616678923249244,0.956748031419516,-154.1364228271
1,0,9,0.0702586338996887,0.863929459190369,-177.569267510377,0.0616678923249244,0.956748031419516,-154.1364228271
1,0,10,0.0757827225446701,0.864556309384108,-1159.39926712046,0.0616678923249244,0.956748031419516,-154.1364228271
1,0,11,0.0167159362673759,0.841893644815683,-1322.3093423021,0.0616678923249244,0.956748031419516,-154.1364228271
1,0,12,0.0903611823558807,0.844652152282,-1386.03901910509,0.0616678923249244,0.956748031419516,-154.1364228271
1,0,13,0.0835584175646305,0.86764224588275,-1088.59924284912,0.0616678923249244,0.956748031419516,-154.1364228271
1,0,14,0.0068538187682628,0.822138335323334,-186.149597925825,0.0616678923249244,0.956748031419516,-154.1364228271
1,0,15,0.08377245221138,0.852541266047954,-1247.67353592042,0.0616678923249244,0.956748031419516,-154.1364228271
1,0,16,0.0850180570423603,0.883902177846432,-1825.49424500892,0.0616678923249244,0.956748031419516,-154.1364228271
1,0,17,0.05622813732028,0.870900919407606,-775.998680748577,0.0616678923249244,0.956748031419516,-154.1364228271
1,0,18,0.0888629457831382,0.915232689261436,-749.818311950797,0.0616678923249244,0.956748031419516,-154.1364228271
1,0,19,0.0985724731624126,0.943108031642437,-781.096897423449,0.0616678923249244,0.956748031419516,-154.1364228271
1,0,20,0.0501113492548465,0.860143659204245,-865.101535456047,0.0616678923249244,0.956748031419516,-154.1364228271
1,0,21,0.0207981655836105,0.99568718509078,-183.437305279389,0.0616678923249244,0.956748031419516,-154.1364228271
1,0,22,0.0781162867128849,0.942478872257471,-627.67872813144,0.0616678923249244,0.956748031419516,-154.1364228271
1,0,23,0.0306507618308067,0.871896883106232,-750.918510562025,0.0616678923249244,0.956748031419516,-154.1364228271
1,0,24,0.0028940140545368,0.932076287162304,-174.006958607028,0.0616678923249244,0.956748031419516,-154.1364228271
1,0,25,0.0814925798058509,0.827606512051821,-799.956079420035,0.0616678923249244,0.956748031419516,-154.1364228271
1,1,0,0.0344479907214641,0.872145525866747,-1326.15660498319,0.0344479907214641,0.872145525866747,-1326.15660498319
1,1,1,0.0897279446721077,0.870427523303032,-1015.69978566092,0.0897279446721077,0.870427523303032,-1015.69978566092
1,1,2,0.0238298060297966,0.811098056358099,-1717.00107574292,0.0897279446721077,0.870427523303032,-1015.69978566092
1,1,3,0.0743956386983394,0.953133325839043,-1737.78299779025,0.0897279446721077,0.870427523303032,-1015.69978566092
1,1,4,0.0398188878417015,0.837246111798286,-523.722000350197,0.0398188878417015,0.837246111798286,-523.722000350197
1,1,5,0.0505490469813346,0.832589401531219,-155.512039471704,0.0505490469813346,0.832589401531219,-155.512039471704
1,1,6,0.0520693926274776,0.980704545354843,-172.859655630147,0.0505490469813346,0.832589401531219,-155.512039471704
1,1,7,0.0840421019256115,0.904748663514852,-148.935068155421,0.0840421019256115,0.904748663514852,-148.935068155421
1,1,8,0.075784538668394,0.84116796361804,-1421.92779388972,0.0840421019256115,0.904748663514852,-148.935068155421
1,1,9,0.0819143254160881,0.894978523045778,-934.59107816515,0.0840421019256115,0.904748663514852,-148.935068155421
1,1,10,0.0697127249717712,0.838555197066069,-1370.06289525589,0.0840421019256115,0.904748663514852,-148.935068155421
1,1,11,0.0393705017805099,0.92661537129283,-710.993119474409,0.0840421019256115,0.904748663514852,-148.935068155421
1,1,12,0.0788296005666256,0.97565518925786,-706.405643993222,0.0840421019256115,0.904748663514852,-148.935068155421
1,1,13,0.0254957631170749,0.914901403641701,-172.140327390872,0.0840421019256115,0.904748663514852,-148.935068155421
1,1,14,0.0703473083734512,0.889346024745703,-152.931081809626,0.0840421019256115,0.904748663514852,-148.935068155421
1,1,15,0.0814895370543003,0.96704138224721,-2052.41676372001,0.0840421019256115,0.904748663514852,-148.935068155421
1,1,16,0.0074637147963047,0.844646295982599,-175.270030280198,0.0840421019256115,0.904748663514852,-148.935068155421
1,1,17,0.0908288133740425,0.969774167227745,-1505.91071591324,0.0840421019256115,0.904748663514852,-148.935068155421
1,1,18,0.0837265608489513,0.836783547466993,-159.098030294879,0.0840421019256115,0.904748663514852,-148.935068155421
1,1,19,0.0483068487226963,0.885220107078552,-777.68632358944,0.0840421019256115,0.904748663514852,-148.935068155421
1,1,20,0.0911583296716213,0.948191728031635,-1517.13337145273,0.0840421019256115,0.904748663514852,-148.935068155421
1,1,21,0.0584433259487152,0.811897012716532,-1281.95383188712,0.0840421019256115,0.904748663514852,-148.935068155421
